ID,holiday,temp,rain_1h,snow_1h,clouds_all,year,month,day,hour,traffic_volume
14462,0,251.39,0.0,0.0,75,2014,1,5,14,3230
14463,0,275.88,0.0,0.0,90,2018,3,4,12,4241
14464,0,277.0,0.0,0.0,90,2017,5,2,4,854
14465,0,288.38,0.0,0.0,75,2017,11,27,15,5748
14466,0,288.14,0.7,0.0,92,2013,6,10,15,5859
14467,0,257.32,0.0,0.0,90,2013,12,16,6,5626
14468,0,286.53,0.0,0.0,1,2015,7,7,1,392
14469,0,279.91,0.0,0.0,90,2012,11,11,8,1797
14470,0,294.54,0.0,0.0,80,2013,6,21,3,324
14471,0,296.43,0.0,0.0,40,2014,7,16,17,6483
14472,0,276.55,0.0,0.0,90,2017,3,23,19,3448
14473,0,274.75,0.0,0.0,1,2013,3,23,16,6264
14474,0,289.71,0.0,0.0,0,2016,9,21,6,5631
14475,0,281.96,0.0,0.0,1,2013,4,5,17,5823
14476,0,272.15,0.0,0.0,90,2018,3,31,2,485
14477,0,280.36,0.0,0.0,40,2016,5,17,7,6807
14478,0,287.17,0.0,0.0,0,2016,6,24,5,3026
14479,0,295.04,0.0,0.0,92,2013,6,21,1,516
14480,0,291.74,0.0,0.0,90,2013,5,20,18,4197
14481,0,271.93,0.0,0.0,1,2016,3,6,0,1250
14482,0,292.86,0.0,0.0,1,2014,5,20,13,5224
14483,0,274.62,0.0,0.0,90,2016,11,24,18,2769
14484,0,295.55,0.0,0.0,90,2015,8,28,17,5693
14485,0,275.35,0.0,0.0,90,2018,1,21,21,2433
14486,0,261.34,0.0,0.0,1,2017,2,2,1,356
14487,0,301.88,0.0,0.0,40,2018,9,12,16,6450
14488,0,301.42,0.0,0.0,75,2017,7,12,17,6010
14489,0,278.8,0.0,0.0,1,2017,2,22,0,625
14490,0,299.01,0.0,0.0,40,2018,9,13,20,3282
14491,0,271.27,0.0,0.0,40,2017,2,26,10,3659
14492,0,292.04,0.0,0.0,1,2015,7,29,7,5529
14493,0,261.79,0.0,0.0,90,2018,2,3,0,1368
14494,0,256.39,0.0,0.0,40,2014,1,22,14,4994
14495,0,291.16,0.0,0.0,5,2018,8,21,21,2504
14496,0,284.96,4.45,0.0,90,2014,5,19,11,4170
14497,0,272.75,0.0,0.0,1,2018,3,17,23,2596
14498,0,282.62,0.0,0.0,75,2015,9,13,6,788
14499,0,289.88,0.0,0.0,75,2017,5,25,11,4824
14500,0,286.44,0.0,0.0,1,2018,7,27,6,5353
14501,0,285.94,0.0,0.0,1,2016,9,13,22,1688
14502,0,280.62,0.0,0.0,90,2017,4,19,19,3189
14503,0,286.68,0.0,0.0,5,2018,4,29,11,4381
14504,0,293.2,0.0,0.0,1,2013,5,16,1,382
14505,0,293.36,0.0,0.0,90,2013,5,9,17,6305
14506,0,254.49,0.0,0.0,90,2017,1,5,2,366
14507,0,287.37,3.39,0.0,56,2013,6,6,17,6419
14508,0,290.4,0.76,0.0,90,2015,8,18,22,1820
14509,0,294.595,0.0,0.0,36,2016,7,17,12,4088
14510,0,293.83,0.0,0.0,0,2013,8,13,10,4880
14511,0,289.6,0.89,0.0,90,2018,8,28,10,4624
14512,0,291.09,0.0,0.0,75,2018,5,3,22,1918
14513,0,290.06,0.0,0.0,88,2016,6,14,7,6643
14514,0,295.01,1.6,0.0,90,2018,9,4,17,5494
14515,0,293.85,0.0,0.0,1,2015,9,13,19,3367
14516,0,272.4,0.0,0.0,90,2013,3,16,19,3572
14517,0,274.75,0.0,0.0,75,2017,2,11,9,3155
14518,0,273.0,0.0,0.0,20,2012,10,30,5,2519
14519,0,294.08,0.0,0.0,75,2017,6,19,14,4928
14520,0,262.89,0.0,0.0,64,2013,11,28,20,3119
14521,0,272.09,0.0,0.0,1,2018,3,16,22,3079
14522,0,286.09,0.0,0.0,1,2014,4,21,20,2963
14523,0,279.15,0.0,0.0,75,2014,3,13,23,1290
14524,0,279.68,0.0,0.0,90,2015,10,29,10,4518
14525,0,286.86,0.0,0.0,1,2015,7,7,23,1264
14526,0,275.64,0.0,0.0,90,2018,3,30,12,5783
14527,0,285.97,0.0,0.0,1,2017,5,31,23,1213
14528,0,250.49,0.0,0.0,1,2018,1,14,3,313
14529,0,273.29,0.25,0.0,1,2014,4,4,23,1665
14530,0,271.15,0.0,0.0,75,2015,12,17,11,4981
14531,0,283.35,0.25,0.0,92,2013,6,7,8,5620
14532,0,279.27,0.0,0.0,90,2012,10,7,18,4015
14533,0,265.94,0.0,0.0,1,2017,12,5,21,2278
14534,0,274.53,0.0,0.0,1,2013,3,29,22,2903
14535,0,292.22,0.0,0.0,40,2018,7,20,23,2030
14536,0,292.58,0.0,0.0,90,2018,6,27,8,5717
14537,0,291.51,0.0,0.0,0,2013,7,5,1,643
14538,0,288.26,0.25,0.0,68,2013,6,11,5,2839
14539,0,285.72,0.0,0.0,1,2015,7,7,2,283
14540,0,289.84,0.0,0.0,24,2016,9,30,19,3593
14541,0,268.64,0.0,0.0,64,2013,12,26,13,4534
14542,0,285.57,0.0,0.0,75,2017,9,7,10,4620
14543,0,289.8,0.0,0.0,75,2015,8,17,22,1662
14544,0,273.87,0.0,0.0,90,2016,2,24,22,1730
14545,0,271.72,0.0,0.0,64,2013,11,30,23,3345
14546,0,291.21,0.0,0.0,20,2017,6,12,8,5716
14547,0,285.83,0.0,0.0,1,2018,5,6,1,784
14548,0,301.34,0.0,0.0,5,2018,9,15,20,3208
14549,0,287.83,0.0,0.0,1,2017,9,3,8,2667
14550,0,276.22,0.0,0.0,1,2017,2,11,5,460
14551,0,278.22,0.0,0.0,90,2016,3,31,22,2998
14552,0,306.51,0.0,0.0,1,2018,5,26,18,3714
14553,0,289.15,0.0,0.0,75,2017,9,30,23,2517
14554,0,267.9,0.0,0.0,90,2013,3,2,5,661
14555,0,293.29,0.0,0.0,20,2018,7,17,9,5030
14556,0,296.79,0.0,0.0,40,2018,7,16,22,1965
14557,0,272.59,0.0,0.0,90,2016,12,3,17,5347
14558,0,286.52,0.0,0.0,90,2013,5,19,7,1120
14559,0,271.08,0.0,0.0,90,2016,11,27,4,300
14560,0,284.68,0.0,0.0,1,2017,9,29,10,4750
14561,0,294.36,0.0,0.0,20,2016,7,4,9,1582
14562,0,275.32,0.0,0.0,20,2014,4,26,7,1538
14563,0,272.95,0.0,0.0,90,2017,2,23,17,6257
14564,0,274.48,0.0,0.0,1,2016,2,7,0,1254
14565,0,295.35,0.0,0.0,75,2016,7,27,19,2991
14566,0,289.88,0.0,0.0,75,2017,5,15,16,6083
14567,0,297.03,0.0,0.0,75,2013,6,1,16,4412
14568,0,295.86,0.25,0.0,1,2018,8,30,14,5680
14569,0,266.95,0.0,0.0,75,2017,12,21,11,4936
14570,0,298.49,0.0,0.0,75,2016,7,4,18,2979
14571,0,281.77,0.0,0.0,20,2014,3,13,17,5988
14572,0,294.99,0.0,0.0,20,2016,8,1,8,5159
14573,0,273.79,0.0,0.0,90,2013,3,16,13,5155
14574,0,274.95,0.0,0.0,90,2015,10,28,19,3172
14575,0,267.4,0.0,0.0,90,2014,2,17,4,803
14576,0,258.47,0.0,0.0,90,2017,1,12,1,357
14577,0,297.28,0.0,0.0,5,2018,8,9,10,4517
14578,0,287.18,0.0,0.0,75,2013,5,22,4,756
